sn,symbol,company_name,ltp,sector,price
121,LUK,LUK,9.16,,9.16
122,LVF2,LVF2,8.85,,8.85
123,MABEL,MABEL,506.0,,506.0
124,MAKAR,MAKAR,553.0,,553.0
125,MANDU,MANDU,781.0,,781.0
126,MATRI,MATRI,975.0,,975.0
127,MBJC,MBJC,272.8,,272.8
128,MBL,MBL,210.0,,210.0
129,MBLEF,MBLEF,8.9,,8.9
130,MCHL,MCHL,470.0,,470.0
131,MDB,MDB,555.1,,555.1
132,MEHL,MEHL,394.0,,394.0
133,MEL,MEL,274.2,,274.2
134,MEN,MEN,629.8,,629.8
135,MERO,MERO,721.0,,721.0
136,MFIL,MFIL,584.0,,584.0
137,MFLD85,MFLD85,1095.0,,1095.0
138,MHCL,MHCL,386.1,,386.1
139,MHL,MHL,472.0,,472.0
140,MHNL,MHNL,235.2,,235.2
141,MKCL,MKCL,1399.0,,1399.0
142,MKHC,MKHC,360.0,,360.0
143,MKHL,MKHL,750.0,,750.0
